T,f,Cin
-13.66,0.009523809523809525,9569.451016150673
-15.15,0.01904761904761905,19231.361927887647
-16.02,0.02857142857142857,28987.5368732523
-16.32,0.0380952380952381,38839.833316263896
-16.43,0.047619047619047616,48790.16416943206
-16.91,0.05714285714285714,58840.50002293347
-17.12,0.06666666666666667,68992.87148695144
-17.12,0.0761904761904762,79249.3716541405
-17.12,0.08571428571428572,89612.15868968717
-17.31,0.09523809523809523,100083.45855698253
-17.46,0.10476190476190476,110665.56788751943
-17.46,0.11428571428571428,121360.85700426748
-17.46,0.12380952380952381,132171.7731084831
-17.51,0.13333333333333333,143100.8436406733
-17.51,0.14285714285714285,154150.67982725822
-17.61,0.1523809523809524,165323.98042538355
-18.27,0.1619047619047619,176623.53567931688
-18.35,0.17142857142857143,188052.23150293974
-18.45,0.18095238095238095,199613.0539040157
-18.45,0.19047619047619047,211309.0936672069
-18.56,0.2,223143.55131420973
-19.27,0.20952380952380953,235119.74236092548
-19.4,0.21904761904761905,247241.10289327026
-20.1,0.22857142857142856,259511.19548508458
-20.1,0.23809523809523808,271933.71548364183
-20.25,0.24761904761904763,284512.4976905019
-20.48,0.2571428571428571,297251.5234679316
-20.71,0.26666666666666666,310154.92830383946
-20.92,0.2761904761904762,323227.00987119233
-21.08,0.2857142857142857,336472.2366212129
-21.11,0.29523809523809524,349895.25695335376
-21.11,0.3047619047619048,363500.9090091323
-21.46,0.3142857142857143,377294.23114146804
-21.46,0.3238095238095238,391280.4731162079
-21.46,0.3333333333333333,405465.1081081643
-21.57,0.34285714285714286,419853.845560264
-21.93,0.3523809523809524,434452.6449814168
-21.97,0.3619047619047619,449267.73076655745
-22.05,0.37142857142857144,464305.60813109786
-22.15,0.38095238095238093,479573.08026188624
-22.15,0.3904761904761905,495077.2667978514
-22.25,0.4,510825.6237659907
-22.37,0.4095238095238095,526825.9651124319
-22.37,0.41904761904761906,543086.4859842123
-22.5,0.42857142857142855,559615.7879354228
-22.5,0.4380952380952381,576422.906251804
-22.5,0.44761904761904764,593517.339611104
-22.55,0.45714285714285713,610909.0823229732
-22.71,0.4666666666666667,628608.6594223742
-22.71,0.47619047619047616,646627.1649250524
-22.92,0.4857142857142857,664976.3035932492
-22.97,0.49523809523809526,683668.4366054016
-23.02,0.5047619047619047,702716.631576096
-23.02,0.5142857142857142,722134.7174331975
-23.08,0.5238095238095238,741937.3447293774
-23.14,0.5333333333333333,762140.0520468968
-23.14,0.5428571428571428,782759.3392496324
-23.14,0.5523809523809524,803812.7484474649
-23.19,0.5619047619047619,825318.9536684284
-23.19,0.5714285714285714,847297.8603872036
-23.19,0.580952380952381,869770.7162392624
-23.42,0.5904761904761905,892760.2344639611
-23.72,0.6,916290.731874155
-23.72,0.6095238095238096,940388.2834532157
-23.77,0.6190476190476191,965080.8960435872
-24.02,0.6285714285714286,990398.704027877
-24.02,0.638095238095238,1.0163741904311375e6
-24.1,0.6476190476190476,1.0430424375132989e6
-24.73,0.6571428571428571,1.0704414117014133e6
-25.07,0.6666666666666666,1.0986122886681096e6
-25.18,0.6761904761904762,1.1275998255413622e6
-25.18,0.6857142857142857,1.1574527886910432e6
-25.31,0.6952380952380952,1.1882244473577968e6
-25.31,0.7047619047619048,1.2199731456723772e6
-25.31,0.7142857142857143,1.252762968495368e6
-25.41,0.7238095238095238,1.2866645201710495e6
-25.75,0.7333333333333333,1.3217558399823194e6
-25.75,0.7428571428571429,1.3581234841531944e6
-25.91,0.7523809523809524,1.3958638121360415e6
-25.91,0.7619047619047619,1.4350845252893225e6
-25.91,0.7714285714285715,1.475906519809578e6
-25.96,0.780952380952381,1.5184661342283736e6
-26.01,0.7904761904761904,1.5629178967992074e6
-26.34,0.8,1.6094379124341006e6
-26.41,0.8095238095238095,1.6582280766035325e6
-26.67,0.819047619047619,1.7095213709910829e6
-26.9,0.8285714285714286,1.763588592261359e6
-26.96,0.8380952380952381,1.8207470061013075e6
-27.05,0.8476190476190476,1.8813716279177421e6
-27.27,0.8571428571428571,1.945910149055313e6
-27.27,0.8666666666666667,2.0149030205422651e6
-27.56,0.8761904761904762,2.0890109926959868e6
-27.72,0.8857142857142857,2.169053700369523e6
-27.8,0.8952380952380953,2.2560650773591534e6
-27.99,0.9047619047619048,2.3513752571634776e6
-28.03,0.9142857142857143,2.4567357728213035e6
-28.98,0.9238095238095239,2.574518808477688e6
-29.49,0.9333333333333333,2.7080502011022107e6
-29.56,0.9428571428571428,2.862200880929468e6
-29.72,0.9523809523809523,3.044522437723422e6
-29.72,0.9619047619047619,3.267665989037634e6
-29.72,0.9714285714285714,3.5553480614894135e6
-29.77,0.9809523809523809,3.960813169597576e6
-29.77,0.9904761904761905,4.653960350157527e6
-30.14,1.0,Inf
