T,timestamp,xpos,ypos
-15.86,2022-05-04T15:07:49.0,390,1545
-15.87,2022-05-04T15:07:56.0,1610,520
-15.88,2022-05-04T15:07:51.0,324,681
-17.6,2022-05-04T15:08:45.0,674,1557
-17.85,2022-05-04T15:08:51.0,1457,1737
-18.3,2022-05-04T15:09:08.0,1818,1266
-18.3,2022-05-04T15:09:05.0,1112,1537
-18.42,2022-05-04T15:09:10.0,516,1580
-18.48,2022-05-04T15:09:12.0,1108,1727
-18.48,2022-05-04T15:09:12.0,509,1418
-18.51,2022-05-04T15:09:14.0,1382,350
-18.78,2022-05-04T15:09:20.0,1793,1413
-18.92,2022-05-04T15:09:24.0,1592,716
-19.0,2022-05-04T15:09:30.0,1039,1029
-19.0,2022-05-04T15:09:30.0,360,1702
-19.0,2022-05-04T15:09:30.0,219,1709
-19.08,2022-05-04T15:09:32.0,827,1274
-19.08,2022-05-04T15:09:32.0,503,1730
-19.08,2022-05-04T15:09:32.0,384,1425
-19.27,2022-05-04T15:09:36.0,1747,1582
-19.36,2022-05-04T15:09:38.0,1281,1541
-19.36,2022-05-04T15:09:38.0,485,852
-19.43,2022-05-04T15:09:40.0,1134,1248
-19.43,2022-05-04T15:09:40.0,1130,1268
-19.53,2022-05-04T15:09:42.0,1065,354
-19.75,2022-05-04T15:09:49.0,1738,1902
-19.78,2022-05-04T15:09:51.0,640,1882
-20.0,2022-05-04T15:09:57.0,1771,914
-20.0,2022-05-04T15:09:57.0,1767,894
-20.0,2022-05-04T15:09:57.0,226,1386
-20.14,2022-05-04T15:10:03.0,496,1892
-20.14,2022-05-04T15:10:03.0,234,1546
-20.17,2022-05-04T15:10:01.0,1629,1429
-20.17,2022-05-04T15:10:01.0,1310,1744
-20.21,2022-05-04T15:10:05.0,1473,1254
-20.21,2022-05-04T15:10:05.0,1390,1031
-20.21,2022-05-04T15:10:05.0,1372,585
-20.21,2022-05-04T15:10:05.0,1371,562
-20.21,2022-05-04T15:10:05.0,1306,1249
-20.21,2022-05-04T15:10:05.0,1278,1888
-20.21,2022-05-04T15:10:05.0,653,1727
-20.35,2022-05-04T15:10:09.0,1754,1041
-20.35,2022-05-04T15:10:09.0,1107,1886
-20.4,2022-05-04T15:10:11.0,341,521
-20.55,2022-05-04T15:10:15.0,1766,1742
-20.55,2022-05-04T15:10:15.0,660,880
-20.65,2022-05-04T15:10:17.0,1463,1903
-20.65,2022-05-04T15:10:17.0,207,516
-20.79,2022-05-04T15:10:22.0,1787,729
-20.79,2022-05-04T15:10:22.0,226,1888
-20.91,2022-05-04T15:10:26.0,807,532
-20.91,2022-05-04T15:10:26.0,233,1243
-21.03,2022-05-04T15:10:28.0,1591,889
-21.03,2022-05-04T15:10:28.0,1490,1396
-21.03,2022-05-04T15:10:28.0,825,1627
-21.13,2022-05-04T15:10:32.0,1634,1586
-21.15,2022-05-04T15:10:34.0,1051,493
-21.15,2022-05-04T15:10:34.0,208,350
-21.27,2022-05-04T15:10:36.0,526,349
-21.27,2022-05-04T15:10:36.0,377,1884
-21.29,2022-05-04T15:10:38.0,1319,1384
-21.29,2022-05-04T15:10:38.0,1043,874
-21.53,2022-05-04T15:10:44.0,1368,868
-21.65,2022-05-04T15:10:50.0,691,366
-21.82,2022-05-04T15:10:52.0,532,1229
-21.87,2022-05-04T15:10:54.0,1459,1555
-22.13,2022-05-04T15:11:01.0,783,1934
-22.13,2022-05-04T15:11:01.0,655,1001
-22.13,2022-05-04T15:11:01.0,640,675
-22.16,2022-05-04T15:11:03.0,1605,1920
-22.16,2022-05-04T15:11:03.0,1049,676
-22.16,2022-05-04T15:11:03.0,814,1792
-22.16,2022-05-04T15:11:03.0,671,533
-22.16,2022-05-04T15:11:03.0,653,1254
-22.23,2022-05-04T15:11:05.0,1210,889
-22.31,2022-05-04T15:11:09.0,1620,1748
-22.4,2022-05-04T15:11:11.0,1119,1391
-22.56,2022-05-04T15:11:17.0,377,1258
-22.83,2022-05-04T15:11:21.0,357,337
-22.87,2022-05-04T15:11:23.0,1595,358
-22.87,2022-05-04T15:11:23.0,347,842
-22.95,2022-05-04T15:11:25.0,1221,521
-23.02,2022-05-04T15:11:29.0,1223,701
-23.27,2022-05-04T15:11:38.0,1653,1247
-23.36,2022-05-04T15:11:40.0,1212,1013
-23.36,2022-05-04T15:11:40.0,346,995
-23.53,2022-05-04T15:11:46.0,1384,723
-23.53,2022-05-04T15:11:46.0,822,1014
-23.53,2022-05-04T15:11:46.0,214,995
-23.8,2022-05-04T15:11:52.0,1780,352
-23.86,2022-05-04T15:11:54.0,195,846
-23.95,2022-05-04T15:11:58.0,467,678
-24.1,2022-05-04T15:12:04.0,488,1012
-24.1,2022-05-04T15:12:04.0,163,649
-24.11,2022-05-04T15:12:06.0,806,668
-24.11,2022-05-04T15:12:02.0,1771,531
-24.65,2022-05-04T15:12:19.0,805,879
-24.68,2022-05-04T15:12:17.0,1217,357
-24.68,2022-05-04T15:12:17.0,810,1451
-24.76,2022-05-04T15:12:23.0,842,354
-24.95,2022-05-04T15:12:29.0,491,530
-25.07,2022-05-04T15:12:31.0,654,1404
-25.55,2022-05-04T15:12:47.0,1597,1043
